# Units: NA, NA, lat, lon, year, NA, NA, MW, kWh, mmbtu, metric tonne CO2
name,state,lat,lon,commissioning_year,prime_mover,primary_fuel,capacity,generation,fuel_consumption,emissions
Nucla,CO,38.2383,-108.5069,1959,ST,Coal,112,101314000.0,1331554.3050000002,136310.426
McWilliams,AL,31.400255,-86.476449,1954,CT,Gas,653,2752131000.0,29510064.386,1753761.331
Branford,CT,41.2925,-72.7942,1967,GT,Oil,21,422000.0,4930.0,0.0
Cos Cob,CT,41.0289,-73.5989,1969,GT,Oil,115,2711000.0,32249.1,0.0
Devon Station,CT,41.209797,-73.108976,1957,GT,Oil,428,30426000.0,272618.76300000004,19916.575
Montville Station,CT,41.4281,-72.1019,1954,ST,Oil,493,48648000.0,607857.3019999999,46601.902
Tunnel,CT,41.555425,-72.041829,1919,GT,Oil,20,270000.0,3932.3,0.0
Franklin Drive,CT,41.798943,-73.116267,1968,GT,Oil,21,342000.0,4155.0,0.0
Middletown,CT,41.554944,-72.579075,1954,ST,Oil,853,248071000.0,2743880.859,174645.222
South Meadow,CT,41.7495,-72.6524,1970,GT,Oil,164,1305000.0,17292.7,1401.4
Stanton Energy Center,FL,28.4822,-81.1678,1987,ST,Coal,1260,6723719000.0,60763514.964,5738209.793
Torrington Terminal,CT,41.776109,-73.120886,1967,GT,Oil,21,468000.0,5777.5,0.0
Bridgeport Station,CT,41.1706,-73.1844,1961,ST,Coal,581,232756000.0,2401216.636,251352.213
North Main Street,CT,41.52679,-72.064935,1972,GT,Oil,19,402000.0,4646.5,0.0
J C McNeil,VT,44.4917,-73.208056,1984,ST,Biomass,59,303151000.0,3977332.925,416170.225
Christiana,DE,39.7302,-75.5371,1973,GT,Oil,52,206000.0,4244.1,343.90000000000003
Delaware City 10,DE,39.600408,-75.626811,1968,GT,Oil,18,45000.0,692.9000000000001,0.0
Edge Moor,DE,39.73886,-75.50384,1954,ST,Gas,709,267389000.0,2742958.154,166370.52399999998
Indian River Generating Station,DE,38.5857,-75.2341,1957,ST,Coal,801,441700000.0,3887431.479,398762.54
West Station (DE),DE,39.7283,-75.6289,1964,GT,Oil,20,45000.0,716.9,0.0
McKee Run,DE,39.176222,-75.546628,1962,ST,Gas,149,9455000.0,102806.051,6239.405
Brandon Shores,MD,39.18,-76.5389,1984,ST,Coal,1370,4336878000.0,44300184.427,4545200.596
Fredonia,WA,48.4558,-122.4358,1984,GT,Gas,374,42339000.0,350495.607,21141.597
Cape Canaveral,FL,28.4698,-80.7644,1965,ST,Oil,2099,7095323000.0,44931481.9,2673347.044
Fort Myers,FL,26.6967,-81.7831,1958,CT,Gas,3298,9022502000.0,63577106.561,3783563.774
Lauderdale,FL,26.0686,-80.1984,1957,GT,Gas,3003,3445403000.0,28014001.881,1684181.711
Port Everglades,FL,26.0856,-80.1253,1960,ST,Oil,3060,6932568000.0,43436996.03,2581533.247
Riviera,FL,26.7653,-80.0525,1962,CT,Gas,1915,7186711000.0,44199084.334,2627638.988
Sanford,FL,28.8419,-81.3256,1959,CT,Gas,2532,10096233000.0,72575887.248,4313087.131
Turkey Point,FL,25.4356,-80.3308,1967,ST,Nuclear,3675,5432677000.0,36759962.536,2186003.731
Crystal River,FL,28.9656,-82.6977,1966,ST,Coal,3331,9600293000.0,103602826.985,10629642.946
P L Bartow,FL,27.859535,-82.601759,1958,CT,Gas,1966,7121111000.0,55188408.151,3279755.841
Crist,FL,30.5661,-87.2244,1945,ST,Coal,1226,3571477000.0,37421919.55,3771619.184
Lansing Smith,FL,30.2686,-85.7003,1965,CT,Gas,999,4219718000.0,29443502.046,1749786.452
Big Bend,FL,27.7944,-82.4036,1969,ST,Coal,2076,6083836000.0,67735718.025,6458871.437
Deerhaven Generating Station,FL,29.7592,-82.3878,1972,ST,Coal,469,846150000.0,8694116.825,765414.9
John R Kelly,FL,29.6461,-82.3208,1958,CT,Gas,237,559275000.0,4519338.05,268577.125
J D Kennedy,FL,30.364818,-81.625967,1973,GT,Gas,538,47312000.0,436835.798,25961.351
Northside Generating Station,FL,30.4172,-81.5525,1966,ST,Coal,1405,3151371000.0,33383196.762,2810176.79
Tom G Smith,FL,26.612767,-80.0677,1961,ST,Gas,143,2406000.0,39096.1,2321.575
Larsen Memorial,FL,28.0797,-81.9228,1956,CT,Gas,158,86504000.0,1262552.781,75124.4
C D McIntosh Jr,FL,28.0801,-81.9229,1970,ST,Coal,1279,2566101000.0,27687546.585,2350200.534
Indian River Plant,FL,28.493232,-80.780124,1989,GT,Gas,342,27140000.0,364469.66,21694.172
Arvah B Hopkins,FL,30.4522,-84.4,1970,CT,Gas,1017,1439491000.0,12251280.047,728069.313
S O Purdom,FL,30.162304,-84.200673,1963,CT,Gas,350,805684000.0,8465859.225,503173.375
Bowen,GA,34.1256,-84.9222,1971,ST,Coal,3538,15107955000.0,147795758.7,15163833.375
Hammond,GA,34.2528,-85.3456,1954,ST,Coal,953,601885000.0,6933425.425000001,711366.223
Jack McDonough,GA,33.8239,-84.4758,1963,CT,Gas,3197,16477105000.0,111391701.597,6619975.973
McManus,GA,31.213645,-81.546165,1952,GT,Oil,640,13763000.0,188819.8,0.0
Yates,GA,33.4622,-84.8986,1950,ST,Gas,1484,550647000.0,5841534.316,347153.168
Ponca,OK,36.71979,-97.085758,1977,ST,Gas,48,62530000.0,569450.009,33842.296
E D Edwards,IL,40.5958,-89.6631,1960,ST,Coal,779,3311098000.0,30910817.408,3241926.518
Coffeen,IL,39.0586,-89.4031,1965,ST,Coal,1004,6111712000.0,59040682.573,6192180.233
Grand Tower Energy Center LLC,IL,37.6577,-89.511161,1951,CT,Gas,639,339804000.0,2775317.568,164932.64
Joliet 9,IL,41.4931,-88.1153,1959,ST,Coal,504,51202000.0,573418.075,33992.325
Kincaid Generation LLC,IL,39.590556,-89.496389,1967,ST,Coal,1318,5144056000.0,49759810.054,5218805.359
Powerton,IL,40.5408,-89.6786,1972,ST,Coal,1784,5409605000.0,61663033.775,6558585.966
Waukegan,IL,42.3833,-87.8133,1952,ST,Coal,914,2013742000.0,20784530.775,2207868.525
Will County,IL,41.6334,-88.0629,1955,ST,Coal,1267,454052000.0,4619168.025,487885.25
Fisk Street,IL,41.8508,-87.6533,1968,ST,Coal,662,0.0,101285.9,8199.8
Joppa Steam,IL,37.2094,-88.858889,1953,ST,Coal,1098,4250710000.0,43053166.356,4513210.625
Baldwin Energy Complex,IL,38.205,-89.8544,1970,ST,Coal,1893,8508558000.0,79210487.112,8307595.874
Havana,IL,40.2797,-90.08,1947,ST,Coal,718,2849335000.0,30567132.893,3205874.351
Hennepin Power Station,IL,41.3028,-89.315,1953,ST,Coal,306,1818028000.0,18709925.973,1962291.71
Venice,IL,38.6642,-90.1764,1942,GT,Gas,1097,64469000.0,630752.875,37484.853
Dallman,IL,39.754803,-89.602389,1968,ST,Coal,617,2758732000.0,28144376.988,2882967.688
Marion,IL,37.619747,-88.953114,1963,ST,Coal,422,1787440000.0,22163024.757,2336814.988
Clifty Creek,IN,38.7378,-85.4206,1955,ST,Coal,1302,6662473000.0,66121027.7,6817684.4520000005
Harding Street,IN,39.711319,-86.196867,1941,ST,Gas,1176,1327907000.0,13754090.203,817665.444
CC Perry K,IN,39.7631,-86.1667,1925,ST,Gas,22,0.0,3764655.801,72319.637
AES Petersburg,IN,38.5281,-87.2525,1967,ST,Coal,2150,10392078000.0,105740372.602,10848957.629
Bailly,IN,41.645,-87.1225,1962,ST,Coal,640,1862714000.0,20521764.796,2105391.129
Michigan City,IN,41.7208,-86.9086,1950,ST,Coal,680,1419042000.0,14040845.08,1472604.268
Cayuga,IN,39.9242,-87.4244,1970,ST,Coal,1182,6161119000.0,58415548.243,5993283.265
Connersville,IN,39.6561,-85.1758,1972,GT,Oil,82,144000.0,3364.0,0.0
Edwardsport,IN,38.8067,-87.2472,1944,CT,Coal,947,3453559000.0,29426653.277,3725626.391
Noblesville,IN,40.0969,-85.9714,1950,CT,Gas,283,433350000.0,4552710.793,270558.333
R Gallagher,IN,38.2636,-85.8381,1958,ST,Coal,600,235436000.0,2311728.178,237181.548
Broadway (IN),IN,37.969116,-87.604879,1971,GT,Gas,141,4011000.0,52060.857,0.0
F B Culley,IN,37.9111,-87.3275,1955,ST,Coal,414,2000305000.0,23281198.268,2387337.932
Butler-Warner Generation Plant,NC,35.0986,-78.8294,1976,CT,Gas,297,11717000.0,185157.1,0.0
Whitewater Valley,IN,39.8028,-84.8953,1955,ST,Coal,93,44782000.0,499696.288,51267.373
Dubuque,IA,42.5031,-90.658611,1929,ST,Gas,84,144000.0,3782.126,224.25
Lansing,IA,43.3359,-91.1675,1948,ST,Coal,339,1081237000.0,11611685.937,1217096.454
Milton L Kapp,IA,41.8081,-90.233611,1947,ST,Gas,236,29923000.0,368805.02,21861.259
Marshalltown,IA,42.0474,-92.859444,1978,GT,Gas,189,21305000.0,224384.663,0.0
Prairie Creek,IA,41.944039,-91.639167,1951,ST,Coal,235,0.0,6707063.377,699540.55
Sutherland,IA,42.047333,-92.859444,1955,ST,Gas,155,0.0,0.0,0.0
Riverside,IA,41.54,-90.4481,1949,ST,Gas,111,6595000.0,77969.957,4621.979
Walter Scott Jr Energy Center,IA,41.18,-95.8408,1954,ST,Coal,1777,9218596000.0,85148897.35,8930422.0
George Neal North,IA,42.299794,-96.361707,1964,ST,Coal,1080,2322486000.0,24747638.875,2595532.2
Burlington (IA),IA,40.7412,-91.116667,1968,ST,Coal,288,1181006000.0,12336041.522,1293351.793
Centerville,IA,40.7478,-92.873056,1963,GT,Oil,60,129000.0,7540.0,0.0
Ames Electric Services Power Plant,IA,42.0258,-93.6089,1968,ST,Gas,108,311312000.0,3921646.325,232475.4
Streeter Station,IA,42.5267,-92.4394,1963,ST,Gas,51,1011000.0,19282.706,1143.337
Muscatine Plant #1,IA,41.3917,-91.0569,1958,ST,Coal,293,1026875000.0,11769503.705,1234389.082
Summit Lake,IA,41.1136,-94.3472,1948,CT,Gas,87,6834000.0,112817.741,0.0
Earl F Wisdom,IA,43.1606,-95.2569,1960,GT,Gas,118,12199000.0,146344.72,8715.803
Cimarron River,KS,37.1611,-100.7619,1963,ST,Gas,65,1105000.0,13659.656,813.729
Fort Dodge,KS,37.7328,-99.9497,1969,ST,Gas,149,4190000.0,48496.464,2882.247
Great Bend - Sunflower,KS,38.41,-98.8689,1963,ST,Gas,81,2198000.0,27205.478000000003,1619.745
Riverton,KS,37.072616,-94.698704,1950,CT,Gas,397,1064137000.0,7946699.128,472258.63
Gordon Evans Energy Center,KS,37.7903,-97.521667,1961,ST,Gas,902,414920000.0,4659922.494,276991.473
La Cygne,KS,38.3481,-94.6456,1973,ST,Coal,1578,4524579000.0,44411173.878,4657836.135
Murray Gill,KS,37.5967,-97.413611,1952,ST,Gas,349,70241000.0,988191.038,58725.39
Hutchinson Energy Center,KS,38.0906,-97.874722,1950,ST,Gas,554,6808000.0,97426.1,0.0
Lawrence Energy Center,KS,39.0072,-95.269167,1952,ST,Coal,604,2722682000.0,28037603.442,2939431.776
Tecumseh Energy Center,KS,39.0539,-95.568889,1957,ST,Coal,290,341231000.0,3895738.996,407295.557
Chanute 2,KS,37.6953,-95.4586,1965,GT,Gas,64,26978000.0,362471.9,21393.1
Coffeyville,KS,37.037344,-95.612689,1956,ST,Gas,62,17455000.0,197658.999,11748.862
Quindaro,KS,39.1492,-94.6381,1965,ST,Gas,385,22253000.0,261053.599,11291.584
McPherson 2,KS,38.363411,-97.68335,1963,GT,Gas,246,5085000.0,81931.7,0.0
Garden City,KS,37.9703,-100.8956,1962,GT,Gas,266,42862000.0,572622.086,9576.883
Big Sandy,KY,38.1707,-82.6176,1963,ST,Coal,1096,593330000.0,5839519.203,347037.679
E W Brown,KY,37.78831,-84.71257,1957,GT,Gas,1745,1893299000.0,20169034.465,1942099.186
Ghent,KY,38.7497,-85.035,1974,ST,Coal,2224,12917636000.0,116732176.25,11976720.735
Cane Run,KY,38.1831,-85.8892,1962,ST,Coal,1467,3632534000.0,24078641.877,1430961.18
Mill Creek (KY),KY,38.0525,-85.9103,1972,ST,Coal,1715,9795879000.0,91602077.537,9386529.133
Paddys Run,KY,38.223592,-85.841704,1968,GT,Gas,226,69409000.0,694553.9550000001,40937.178
Elmer Smith,KY,37.7942,-87.0608,1964,ST,Coal,445,2012782000.0,20897100.611,2144578.144
Paradise,KY,37.2608,-86.9783,1963,ST,Coal,3718,6847129000.0,58347310.105,4784888.443
Shawnee,KY,37.1517,-88.775,1953,ST,Coal,1750,6910338000.0,74961682.87099999,7862124.393
Kenneth C Coleman,KY,37.9631,-86.7911,1969,ST,Coal,602,0.0,0.0,0.0
HMP&L Station Two Henderson,KY,37.6469,-87.5028,1973,ST,Coal,405,1270243000.0,13678376.5,1403400.575
Robert A Reid,KY,37.6461,-87.5019,1966,GT,Gas,194,2210000.0,42290.8,0.0
Cooper,KY,36.9981,-84.5919,1965,ST,Coal,343,505673000.0,4893397.937,502063.664
Louisiana 1,LA,30.4922,-91.1864,1951,GT,Gas,450,3253205000.0,36692014.692,2180568.726
R S Nelson,LA,30.2844,-93.2911,1959,ST,Gas,1594,2912487000.0,31958254.431,3351782.21
Coughlin Power Station,LA,30.8439,-92.261111,1961,CT,Gas,920,2404263000.0,17668463.525,1050006.087
Teche,LA,29.822222,-91.5425,1953,ST,Gas,467,743524000.0,7781974.068,462446.582
Little Gypsy,LA,30.005067,-90.461694,1961,ST,Gas,1249,2244661000.0,24319392.571,1445266.603
Nine Mile Point,LA,29.9472,-90.1458,1951,ST,Gas,2788,9097582000.0,72788186.478,4325704.704
Sterlington,LA,32.7047,-92.0792,1958,ST,Gas,473,15307000.0,149097.051,8861.010999999999
Arsenal Hill,LA,32.5181,-93.7611,1960,ST,Gas,125,1786750000.0,20764662.181,1234014.078
Lieberman,LA,32.7047,-93.9597,1947,ST,Gas,278,38355000.0,413081.728,24552.442
Houma,LA,29.5806,-90.7225,1948,ST,Gas,94,37007000.0,413743.13,24583.233
Louis Doc Bonin,LA,30.238038,-92.046264,1965,ST,Gas,340,0.0,0.0,0.0
Big Cajun 1,LA,30.6739,-91.3556,1972,GT,Gas,490,100822000.0,1245724.45,74033.421
William F Wyman,ME,43.7508,-70.1567,1957,ST,Oil,861,116107000.0,1203163.084,103596.8
"CP Crane Power, LLC",MD,39.323604,-76.365119,1961,ST,Coal,415,255380000.0,2689464.578,282073.439
Gould Street,MD,39.2663,-76.6047,1952,ST,Gas,103,14452000.0,172856.999,10272.768
Herbert A Wagner,MD,39.1781,-76.5268,1956,ST,Coal,1057,243305000.0,2659198.25,262561.083
Perryman,MD,39.442836,-76.221761,1972,GT,Gas,545,250694000.0,2520708.626,154193.174
Westport,MD,39.26604,-76.629537,1969,GT,Gas,121,25175000.0,334810.59500000003,19897.622
Vienna Operations,MD,38.4878,-75.8208,1968,ST,Oil,180,1895000.0,38550.046,3127.893
Chalk Point LLC,MD,38.5444,-76.6861,1964,ST,Gas,2553,973622000.0,10616505.434,878880.516
Dickerson,MD,39.2097,-77.4644,1959,ST,Coal,933,354196000.0,3685293.383,325722.645
Morgantown Generating Plant,MD,38.3592,-76.9767,1970,ST,Coal,1548,2807499000.0,25770231.499,2642546.356
Exelon Framingham LLC,MA,42.2672,-71.3983,1969,GT,Oil,42,624000.0,13474.9,0.0
Mystic Generating Station,MA,42.3908,-71.0675,1957,CT,Gas,2841,7324399000.0,52949562.549,3177559.946
Exelon Medway LLC,MA,42.140028,-71.446441,1970,GT,Oil,135,5347000.0,97706.8,7916.9
Kendall Square Station,MA,42.3633,-71.0792,1949,CT,Gas,293,2229706000.0,14602095.266,869567.366
Canal,MA,41.7694,-70.5097,1968,ST,Oil,1495,59088000.0,634036.584,47348.997
Brayton Point,MA,41.7103,-71.1931,1963,ST,Coal,1607,1269112000.0,12351578.4,1261407.025
Doreen,MA,42.4433,-73.2058,1969,GT,Oil,21,170000.0,2835.3,0.0
Essential Power Massachusetts LLC,MA,42.095,-72.595,1949,GT,Gas,352,40836000.0,376813.069,23043.931
Woodland Road,MA,42.336215,-73.235486,1969,GT,Oil,20,346000.0,5192.2,0.0
Potter Station 2,MA,42.235,-70.9672,1963,GT,Gas,221,52491000.0,452124.491,28892.002
Waters River,MA,42.542949,-70.928314,1971,GT,Gas,64,15591000.0,182196.5,8403.6
Cleary Flood,MA,41.8653,-71.1061,1966,CA,Gas,146,62149000.0,658330.608,40489.111
Dan E Karn,MI,43.644996,-83.840074,1959,ST,Gas,1945,2800963000.0,31796680.54,3229451.55
J H Campbell,MI,42.910296,-86.20074,1962,ST,Coal,1577,8576748000.0,81265859.525,8523165.725
Thetford,MI,43.156746,-83.628589,1970,GT,Gas,217,379000.0,10543.0,0.0
Delray,MI,42.2947,-83.1019,2000,GT,Gas,142,30248000.0,310322.145,18441.476
Hancock,MI,42.5497,-83.4425,1966,GT,Gas,158,3681000.0,49970.6,2947.8
Monroe (MI),MI,41.8906,-83.3464,1969,ST,Coal,3288,16823439000.0,161683003.159,16962318.878
River Rouge,MI,42.2739,-83.1119,1956,ST,Coal,940,397484000.0,11021734.665,1101464.513
St Clair,MI,42.7642,-82.4719,1953,ST,Coal,1923,3950968000.0,38513751.742,4039329.637
Trenton Channel,MI,42.1217,-83.1808,1949,ST,Coal,775,0.0,20920740.0,2194166.029
Presque Isle,MI,46.5789,-87.395,1955,ST,Coal,623,1716258000.0,18799767.727,1971717.062
J B Sims,MI,43.0706,-86.235,1983,ST,Coal,80,312365000.0,2827554.182,290107.109
James De Young,MI,42.7956,-86.1133,1951,ST,Coal,62,0.0,288.276,16.791
Eckert Station,MI,42.71839,-84.55808,1954,ST,Coal,375,426729000.0,5249155.781,550527.037
Erickson Station,MI,42.692222,-84.657222,1973,ST,Coal,154,1080904000.0,13078441.089,1371670.238
Shiras,MI,46.530598,-87.392206,1967,ST,Coal,77,230406000.0,3107662.182,325930.87
Wyandotte,MI,42.2081,-83.1453,1948,ST,Gas,75,0.0,209758.269,12433.111
Fox Lake,MN,43.6728,-94.7075,1950,ST,Gas,131,18133000.0,229289.339,13591.980999999998
Syl Laskin,MN,47.5306,-92.1619,1953,ST,Gas,116,6007000.0,91665.227,5447.335
Clay Boswell,MN,47.2611,-93.6528,1958,ST,Coal,1072,7696110000.0,81054244.132,8500961.426
M L Hibbard,MN,46.735331,-92.151711,1931,ST,Biomass,122,0.0,2653329.786,276661.202
Black Dog,MN,44.8108,-93.2501,1952,CT,Gas,1440,716606000.0,5410771.565,321551.389
High Bridge,MN,44.9314,-93.1117,1956,CT,Gas,920,2034422000.0,14628960.054,869378.257
Inver Hills,MN,44.781,-93.042,1972,GT,Gas,278,7507000.0,129074.5,0.0
Allen S King,MN,45.03,-92.7786,1958,ST,Coal,598,3204378000.0,30866470.831,3237274.286
Riverside (MN),MN,45.0203,-93.2753,1964,CT,Gas,822,1632559000.0,11183848.679,664637.5920000001
Hoot Lake,MN,46.290641,-96.043252,1914,ST,Coal,137,264903000.0,3136673.05,328965.275
New Ulm,MN,44.3159,-94.4581,1957,GT,Oil,78,442000.0,1134.0,0.0
Cambridge CT,MN,45.601,-93.2081,1978,GT,Gas,194,24308000.0,267168.77900000004,15540.275
Elk River,MN,45.296797,-93.558447,1951,GT,Gas,238,25270000.0,265849.852,16073.615
Maple Lake,MN,45.229073,-94.009673,1978,GT,Oil,25,264000.0,4176.0,0.0
Chevron Oil,MS,30.34,-88.4919,1967,GT,Gas,169,607066000.0,7199184.161,427835.499
Sweatt,MS,32.2925,-88.7461,1951,ST,Gas,136,3864000.0,33951.8,0.0
Jack Watson,MS,30.4392,-89.0286,1957,ST,Gas,1212,1595793000.0,16950666.718,1004361.513
Baxter Wilson,MS,32.2831,-90.9306,1967,ST,Gas,1327,672000000.0,7173702.407,426580.938
Rex Brown,MS,32.356954,-90.21297,1948,ST,Gas,348,176959000.0,2553854.067,151771.58599999998
Moselle,MS,31.528,-89.3004,1970,CT,Gas,509,956271000.0,8188602.625,486650.119
Asbury,MO,37.361315,-94.58926,1970,ST,Coal,230,1094853000.0,11955117.882,1253857.069
Hawthorn,MO,39.1306,-94.4778,1969,ST,Coal,1070,3435788000.0,30833329.59,3186611.5
Montrose,MO,38.3114,-93.9348,1958,ST,Coal,564,417854000.0,4672707.886,490070.283
Northeast (MO),MO,39.1228,-94.5606,1972,GT,Oil,486,2395000.0,36287.7,0.0
Fairgrounds,MO,38.5935,-92.2206,1974,GT,Oil,68,266000.0,5738.1,0.0
Ralph Green,MO,38.78758,-94.277689,1981,GT,Gas,74,5168000.0,128699.683,0.0
Sibley,MO,39.178319,-94.184445,1960,ST,Coal,524,1607837000.0,15953142.819,1673164.483
Lake Road (MO),MO,39.7246,-94.8773,1950,ST,Gas,271,6223000.0,98283.41300000002,4641.956999999999
Labadie,MO,38.562244,-90.837686,1970,ST,Coal,2388,17005972000.0,158579161.919,16631779.125
Meramec,MO,38.4017,-90.3358,1953,ST,Coal,1040,1252466000.0,12893892.776,1338335.544
Sioux,MO,38.915479,-90.290247,1967,ST,Coal,1098,5382145000.0,53620474.666,5623718.736
Chillicothe,MO,39.783388,-93.564112,1938,GT,Gas,103,469000.0,8536.7,0.0
Columbia (MO),MO,38.964646,-92.316768,1957,ST,Coal,100,0.0,38270.343,2274.492
