ORISPL_CODE,GLOAD (MW),CO2_MASS (tons),HEAT_INPUT (mmBtu)
3,12296272.0,7341728.3,96915175.7
7,0.0,193727.525,3266577.975
8,4868338.0,5080765.437,49520149.5
9,19465.0,0.0,335226.663
10,965655.0,594431.158,9881313.3
26,5349340.0,5322164.876,58507463.275
47,16387.0,14591.0,234498.2
51,2168905.0,2218354.205,20374318.086
54,176105.0,123330.289,2072401.463
56,1513992.0,1731947.2989999999,16880651.249
59,363983.0,427906.548,4079930.1040000003
60,1295300.0,1419731.787,13536728.595999999
87,1187080.0,1241435.953,11836703.513
108,1120854.0,1190563.088,11351678.741999999
113,4022229.0,4713155.073,45937179.893
116,213682.0,149023.951,2507600.611
117,2314082.0,1083332.98,18229138.614
118,35504.0,23300.774,392075.567
120,324944.0,208853.308,3514423.44
124,11413.0,7968.3679999999995,134077.095
126,795789.0,519258.154,8576327.103
127,1818423.0,1899857.3190000001,18114622.505
130,9019529.0,9316540.773,90804532.314
136,8259576.0,7910171.8440000005,77097230.767
141,235804.0,145938.686,2447270.1319999998
147,1035149.0,444512.611,7479806.827
160,1918601.0,1958791.107,19858448.124
165,1479368.0,1181168.966,14333757.099
170,109534.0,76197.447,1282202.2079999999
201,148930.0,81596.954,1373006.875
202,0.0,15822.68,265547.9
203,0.0,52346.119,881459.3770000001
207,5570098.0,5848162.325999999,57079681.24
260,2445685.0,978799.596,17317445.469
298,9872828.0,10590592.553,97317303.02
302,546548.0,372408.802,6266557.916
315,895450.0,651829.6000000001,10968269.7
330,1378017.0,653691.399,10999621.138
331,144605.0,107571.214,1810067.059
335,394354.0,282505.4,4753741.6
341,35729.0,32065.003,539573.399
345,147324.0,88248.863,1484949.617
350,249945.0,166223.492,2796994.5620000004
356,525647.0,388124.5,6530887.7
358,4246458.0,1793910.005,30185985.293
377,147982.0,140229.064,1815428.467
384,334982.0,200286.40399999998,3378645.3
389,1075494.0,524344.529,8823116.177000001
399,101879.0,57105.634,969913.0660000001
400,2934683.0,1263206.3530000001,21603481.904
404,1436595.0,885011.235,15049402.768
408,1558267.0,648338.948,11078911.649
422,88270.0,49840.017,838614.6730000001
469,4519965.0,2796559.426,36776070.267
470,10059600.0,9861282.648,94574644.82699999
477,234452.0,215264.697,2098085.364
478,0.0,15816.24,265996.183
492,1269373.0,1447743.584,13831253.81
508,0.0,0.0,0.0
525,2888130.0,3088947.209,30106713.404
527,101314.0,136310.426,1331554.3050000002
533,2752131.0,1753761.331,29510064.386
540,422.0,0.0,4930.0
542,2711.0,0.0,32249.100000000002
