,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
487,Boardman,OR,45.693182,-119.808819,1980,Coal,642,1747200000.0,17715313.534,1857983.613,Gas,-28.073749002676642,1261779.2290867565,0.0012617792290867565,0.0,Coal→Gas,531068981.5069999,987.6923076923076
858,Hermiston Generating Plant,OR,45.8042,-119.37,1996,Gas_CC,620,2268727000.0,17452436.488,1037181.353,Gas,59.10308886602686,263014.1235458213,0.0015247933526325779,0.0012617792290867565,Gas_CC→Gas,1116300129.5780003,953.8461538461538
905,Klamath Cogeneration Plant,OR,42.173889,-121.810556,2001,Gas_CC,500,2798950000.0,20584610.875,1223321.78,Gas,134.30677251298638,268224.33245308336,0.0017930176850856612,0.001524793352632578,Gas_CC→Gas,1283708569.3970006,769.2307692307692
1306,Carty Generating Station,OR,45.698611,-119.813056,2016,Gas_CC,500,3043849000.0,21777896.346,1294229.099,Wind,171.4638892911238,1294229.099,0.003087246784085661,0.0017930176850856612,Gas_CC→Wind,1396958623.917,961.5384615384615
1025,Hermiston Power Partnership,OR,45.794046,-119.313323,2002,Gas_CC,688,4053366000.0,28981097.866,1722304.795,Gas,176.65036703701594,339157.7146400595,0.0034264044987257205,0.003087246784085661,Gas_CC→Gas,1404962643.2700002,1058.4615384615383
