,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
1285,Antelope Station,TX,33.865,-101.843333,2011,Gas_SC,162,778290000.0,6930909.28,411895.363,Gas,25.712460232633862,146316.2020820523,0.08428794258008301,0.08414162637800096,Gas_SC→Gas,1094485298.6319997,249.23076923076923
1340,Victoria City Power LLC,TX,28.7853,-97.0093,2020,Gas_SC,100,100374000.0,841447.719,50007.763,Wind,26.789349953587724,50007.763,0.08433795034308302,0.08428794258008301,Gas_SC→Wind,1094974174.4229999,192.30769230769232
971,Ennis Power Company LLC,TX,32.32,-96.675,2002,Gas_CC,418,859613000.0,7014038.985,416834.635,Wind,28.80213504697833,416834.635,0.08475478497808302,0.08433795034308302,Gas_CC→Wind,1095391009.0579998,803.8461538461539
864,Johnson County,TX,32.3994,-97.4078,1996,Gas_CC,282,940117000.0,7417756.133,440824.707,Gas,34.30085272139823,120024.64015512436,0.08487480961823814,0.08475478497808302,Gas_CC→Gas,1100400240.1729999,433.8461538461538
899,Midlothian Energy Facility,TX,32.4302,-97.0537,2000,Gas_CC,1734,4080310000.0,30079046.604,1787556.582,Wind,36.84434682437474,1787556.582,0.08666236620023814,0.08487480961823814,Gas_CC→Wind,1102896370.3249998,3334.6153846153848
815,Texas City Power Plant,TX,29.378697,-94.943829,1987,Gas_CC,450,2498476000.0,18672472.948,1109683.367,Gas,41.25742927718197,257117.9226879438,0.08691948412292609,0.08666236620023814,Gas_CC→Gas,1104498876.892,692.3076923076924
888,Mustang Station,TX,32.9728,-102.7417,1999,Gas_CC,520,1940590000.0,15329314.265,910999.778,Gas,55.75271850348528,248804.11329178058,0.08716828823621788,0.08691948412292609,Gas_CC→Gas,1111190290.8180003,800.0
977,Jack County,TX,33.101,-97.9574,2006,Gas_CC,1280,3449553000.0,24172733.752,1436549.3739999998,Wind,56.72366746018152,1436549.3739999998,0.08860483761021787,0.08716828823621788,Gas_CC→Wind,1113062784.9050004,2461.5384615384614
1215,Colorado Bend Energy Center,TX,29.2878,-96.0683,2002,Gas_CC,580,2293136000.0,18406654.52,1093882.665,Gas,60.73085377632146,311386.2501022897,0.08891622386032016,0.08860483761021787,Gas_CC→Gas,1119388051.1260004,892.3076923076924
634,Sand Hill,TX,30.2098,-97.6129,2001,Gas_CC,694,1653851000.0,12772728.073,759015.837,Wind,64.72614362363664,759015.837,0.08967523969732016,0.08891622386032016,Gas_CC→Wind,1123108196.7760003,1334.6153846153845
1022,Wise County Power LLC,TX,33.0583,-97.9103,2004,Gas_CC,821,2545713000.0,18212781.737,1082361.37,Wind,66.78178109303384,1082361.37,0.09075760106732017,0.08967523969732016,Gas_CC→Wind,1126100149.015,1578.846153846154
932,Guadalupe Generating Station,TX,29.6244,-98.1419,2000,Gas_CC,1086,6232194000.0,48079114.507,2857265.997,Gas,72.90162089269302,730628.3000003365,0.09148822936732051,0.09075760106732017,Gas_CC→Gas,1132624476.5630002,1670.7692307692307
939,Bosque County Peaking,TX,31.8594,-97.3586,2000,Gas_CC,807,3971665000.0,30634795.32,1820587.018,Gas,75.06516211495466,465319.11253136885,0.09195354847985188,0.09148822936732051,Gas_CC→Gas,1140051963.84,1241.5384615384614
927,Hays Energy Project,TX,29.7806,-97.9894,2002,Gas_CC,986,2482393000.0,18268292.329,1085662.021,Wind,79.92921737130966,1085662.021,0.09303921050085187,0.09195354847985188,Gas_CC→Wind,1152022642.475,1896.1538461538464
