,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
894,Brownsville Peaking Power,TN,35.5438,-89.198,1999,Gas_SC,460,334949000.0,3834429.612,227873.668,Wind,-121.83157125026159,227873.668,0.000227873668,0.0,Gas_SC→Wind,34068611.41099999,884.6153846153846
370,Allen,TN,35.074087,-90.14868,1959,Gas_CC,2764,3815383000.0,24638356.599,1464222.803,Wind,-97.46250332400766,1464222.803,0.0016920964710000002,0.00022787366800000006,Gas_CC→Wind,64200827.246999994,5315.384615384615
992,Gleason Generating Facility,TN,36.2454,-88.612,2000,Gas_SC,567,470362000.0,4899365.157,291158.105,Wind,-91.55591784880784,291158.105,0.001983254576,0.0016920964710000002,Gas_SC→Wind,78043832.59100002,1090.3846153846155
371,Bull Run,TN,36.0211,-84.1567,1967,Coal,950,739769000.0,7270929.042,745998.767,Wind,-76.88192766077665,745998.767,0.0027292533430000004,0.001983254576,Coal→Wind,104743560.15700002,1826.923076923077
376,Kingston,TN,35.8992,-84.5194,1954,Coal,1700,1746724000.0,18878690.876,1958476.24,Gas,-64.30574197007536,1362434.283563143,0.0040916876265631435,0.0027292533430000004,Coal→Gas,125999469.892,2615.3846153846157
373,Gallatin (TN),TN,36.3156,-86.4006,1956,Coal,1914,2765308000.0,27983225.26,2853724.553,Gas,-52.48643397133387,1910106.9062106435,0.006001794532773787,0.0040916876265631435,Coal→Gas,179898076.90899995,2944.6153846153848
372,Cumberland (TN),TN,36.3903,-87.6539,1973,Coal,2600,10186573000.0,101328432.745,10382601.489,Gas,-34.16981186700737,6906594.460810738,0.012908388993584525,0.006001794532773787,Coal→Gas,411868187.0089999,4000.0
374,John Sevier,TN,36.3767,-82.9639,1955,Gas_CC,1796,5176365000.0,35867829.357,2131601.988,Gas,43.44298380207586,365249.2489117007,0.013273638242496225,0.012908388993584525,Gas_CC→Gas,1106999698.416,2763.076923076923
623,Lagoon Creek,TN,35.6578,-89.3964,2001,Gas_SC,1619,3862041000.0,25338618.622,1506225.597,Wind,73.16350372764732,1506225.597,0.014779863839496225,0.013273638242496225,Gas_SC→Wind,1134130702.16,3113.4615384615386
