,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions
954,Elwood Energy LLC,IL,41.4388,-88.1236,1999,Gas_SC,1728,411708000.0,4409251.198,262031.211
991,University Park South,IL,41.440893,-87.753189,2001,Gas_SC,348,433196000.0,4363611.899999999,257489.4
1115,University Park North,IL,41.4425,-87.7514,2002,Gas_SC,720,858680000.0,8143022.589,483947.538
528,A L Pierce,CT,41.44823,-72.834884,1953,Gas_SC,105,2212000.0,22075.072,1372.158
1100,Wallingford Energy,CT,41.448694,-72.835364,2001,Gas_SC,350,190424000.0,1634817.352,97154.174
1326,Lackawanna Energy Center,PA,41.471389,-75.544167,2018,Gas_CC,1665,9442190000.0,61894648.057,3678313.685
1034,Troy Energy LLC,OH,41.47724,-83.45983,2002,Gas_SC,792,942112000.0,9615268.879,571792.094
920,Kendall County Generation Facility,IL,41.4797,-88.2581,2002,Gas_CC,1256,7782079000.0,56452603.929,3354898.6380000003
1181,CPV Towantic Energy Center,CT,41.481243,-73.123108,2018,Gas_CC,840,5452943000.0,35875057.064,2132176.236
764,Archbald Power Station,PA,41.485,-75.5406,1988,Gas_SC,91,33228000.0,324225.15,19269.75
104,Joliet 9,IL,41.4931,-88.1153,1959,Gas_SC,504,21477000.0,257356.525,15255.85
41,Joliet 29,IL,41.494636,-88.123827,1965,Gas_SC,1320,1091451000.0,11312187.925,670585.4299999999
319,Avon Lake,OH,41.504453,-82.054619,1949,Coal,873,273478000.0,2536566.807,260085.369
1173,Exira,IA,41.514365,-94.919729,2004,Gas_SC,180,89334000.0,865127.563,51533.881
1244,Waterbury Generation,CT,41.5444,-73.0417,2009,Gas_SC,96,24147000.0,209009.809,12445.541
1250,Kleen Energy Systems Project,CT,41.553227,-72.596867,2011,Gas_CC,693,1832466000.0,12801399.367,760983.506
60,Middletown,CT,41.554944,-72.579075,1954,Oil,853,325261000.0,3439297.038,211537.738
660,Greater Des Moines,IA,41.5563,-93.5283,2003,Gas_CC,575,457689000.0,4992929.627,296722.743
549,Pleasant Hill,IA,41.5572,-93.5242,1990,Gas_SC,179,5023000.0,84852.404,2888.948
278,Danskammer Generating Station,NY,41.571247,-73.974981,1951,Gas_SC,535,12759000.0,143161.891,8486.795
668,Roseton Generating Facility,NY,41.573783,-73.966269,1974,Gas_SC,1242,118000000.0,1238392.745,74412.18400000001
108,Will County,IL,41.6334,-88.0629,1955,Coal,1267,372616000.0,4087933.475,431771.475
883,Tiverton Power Plant,RI,41.6422,-71.1706,2000,Gas_CC,544,1634259000.0,11355303.976,674833.269
1314,Oregon Clean Energy Center,OH,41.667928,-83.443664,2017,Gas_CC,1061,5813670000.0,38070986.59,2262502.392
812,Dartmouth Power Associates LP,MA,41.6731,-70.9994,1992,Gas_CC,96,49870000.0,418838.686,24925.136
994,Whiting Clean Energy,IN,41.6739,-87.4775,2002,Gas_CC,575,2259294000.0,26051463.417,1548203.317
1272,Cricket Valley Energy,NY,41.676111,-73.581111,2020,Gas_CC,1311,4040671000.0,28566967.668,1697691.544
1014,Calumet Energy Team LLC,IL,41.6835,-87.5563,2002,Gas_SC,312,17576000.0,155608.84,9038.629
1282,St Joseph Energy Center,IN,41.698992,-86.479699,2018,Gas_CC,2186,4844160000.0,31951260.599,1898816.536
948,Cordova Energy,IL,41.712216,-90.279679,2001,Gas_CC,611,2040038000.0,13538132.796,804562.545
121,Michigan City,IN,41.7208,-86.9086,1950,Coal,680,1658109000.0,16260738.308,1705426.85
686,Jim Bridger,WY,41.7378,-108.7875,1974,Coal,2441,11336603000.0,117039764.935,12275116.354
851,Pratt & Whitney,CT,41.748327,-72.636693,1992,Gas_SC,25,85790000.0,985538.778,58569.66
61,South Meadow,CT,41.7495,-72.6524,1970,Oil,164,1656000.0,22375.8,1812.2
442,Naughton,WY,41.7581,-110.5983,1963,Coal,832,2905299000.0,30338463.637,3056807.435
780,Capitol District Energy Center,CT,41.7639,-72.6925,1988,Gas_CC,69,11708000.0,99298.289,5900.867
1301,Hamilton Liberty,PA,41.7675,-76.39,2016,Gas_CC,870,5161125000.0,34521395.95,2051558.325
190,Canal,MA,41.7694,-70.5097,1968,Oil,1825,320540000.0,3172012.484,192024.631
946,Nelson Energy Center,IL,41.774444,-89.607222,2015,Gas_CC,626,3968921000.0,26831806.827,1594575.796
907,Rhode Island State Energy Center,RI,41.8017,-71.5186,2002,Gas_CC,596,3718519000.0,25045021.176,1488389.885
1003,Aurora,IL,41.8151,-88.2265,2001,Gas_SC,1080,824938000.0,7770818.632,461804.32
358,Manchester Street,RI,41.8167,-71.4042,1995,Gas_CC,515,1107067000.0,13565120.175,804654.425
982,Lee Energy Facility,IL,41.8287,-89.4054,2001,Gas_SC,688,273592000.0,3387296.152,201305.252
874,Dighton Power Plant,MA,41.8312,-71.1239,1999,Gas_CC,200,216922000.0,1689282.333,100391.37
826,Pawtucket Power Associates,RI,41.861531,-71.406856,1990,Gas_CC,68,5785000.0,51068.158,3047.98
196,Cleary Flood Hybrid,MA,41.8653,-71.1061,1966,Gas_CC,149,52643000.0,560039.6190000001,33339.974
930,Lake Road Generating Plant,CT,41.872043,-71.895799,2002,Gas_CC,840,3619711000.0,39772251.212,2363498.479
201,Monroe (MI),MI,41.8906,-83.3464,1969,Coal,3288,14295504000.0,136084002.376,14276708.615
727,Algonquin Windsor Locks,CT,41.9227,-72.6255,1990,Gas_CC,71,6538000.0,86882.201,5184.077
1068,Elgin Energy Center LLC,IL,42.000061,-88.244572,2002,Gas_SC,540,390722000.0,4420334.302,262695.088
810,Ocean State Power,RI,42.009722,-71.668909,1990,Gas_CC,252,442546000.0,5175091.072000001,307762.369
838,Ocean State Power II,RI,42.0099,-71.6701,1991,Gas_CC,252,421685000.0,5073498.176,301591.385
136,Ames Electric Services Power Plant,IA,42.0258,-93.6089,1968,Gas_SC,108,263519000.0,3554398.289,210709.305
524,Ames GT,IA,42.0272,-93.5828,1972,Oil,78,696000.0,6391.9,517.5999999999999
1296,Marshalltown Generating Station,IA,42.043333,-92.872778,2017,Gas_CC,706,2737902000.0,19623687.102,1166207.249
879,Berkshire Power,MA,42.0476,-72.6478,1999,Gas_CC,289,634499000.0,4525904.71,268970.39
963,ANP Blackstone Energy Project,MA,42.059876,-71.515811,2001,Gas_CC,578,951288000.0,10517931.658,625063.477
827,Indeck Olean Energy Center,NY,42.085944,-78.45425,1994,Gas_CC,90,87172000.0,748123.9500000001,44458.975
714,Bellingham Cogeneration Facility,MA,42.0925,-71.4833,1991,Gas_CC,384,41395000.0,481654.901,28751.054
908,Rocky Road Power LLC,IL,42.0931,-88.2397,1999,Gas_SC,413,82724000.0,928948.267,55471.30300000001
301,S A Carlson,NY,42.0933,-79.2478,1951,Gas_SC,95,69026000.0,643513.625,38231.6
192,Essential Power Massachusetts LLC,MA,42.095,-72.595,1949,Gas_SC,352,2848000.0,28185.505,1540.799
509,Laramie River Station,WY,42.108889,-104.8825,1981,Coal,1710,8652304000.0,97551039.731,10231153.943
962,ANP Bellingham Energy Project,MA,42.110577,-71.453468,2002,Gas_CC,578,971792000.0,10925397.196,649280.37
893,Millennium Power,MA,42.112291,-72.015113,2001,Gas_CC,427,686521000.0,7559875.478,449275.269
863,Milford Power LP,MA,42.129361,-71.511496,1993,Gas_CC,248,207225000.0,1756061.57,104361.763
1317,Exelon West Medway II LLC,MA,42.137218,-71.4447,2019,Gas_SC,200,208911000.0,1940048.243,115862.331
188,Exelon Medway LLC,MA,42.140028,-71.446441,1970,Oil,135,1899000.0,33620.5,2724.5
740,Masspower,MA,42.1575,-72.5225,1993,Gas_CC,260,256404000.0,2995553.975,178018.8
656,Sumpter,MI,42.167,-83.5318,2002,Gas_SC,340,352070000.0,4396849.717,261295.699
1108,Klamath Expansion Project,OR,42.172718,-121.814393,2002,Gas_SC,116,45352000.0,407081.697,24192.093
905,Klamath Cogeneration Plant,OR,42.173889,-121.810556,2001,Gas_CC,500,2798950000.0,20584610.875,1223321.78
477,Stony Brook,MA,42.1978,-72.5106,1981,Gas_CC,956,77144000.0,916619.075,55276.025
194,Potter Station 2,MA,42.235,-70.9672,1963,Gas_SC,221,24522000.0,202330.249,12410.217
1161,NRG Rockford II Energy Center,IL,42.2383,-89.1011,2002,Gas_SC,168,88802000.0,825181.8539999999,49038.782
984,NRG Rockford I,IL,42.238558,-89.101202,2000,Gas_SC,316,137074000.0,1395210.9740000002,82914.214
1021,Fore River Generating Station,MA,42.2422,-70.9661,2003,Gas_CC,871,3410507000.0,24815891.781,1475845.104
1000,Jackson Generating Station,MI,42.2488,-84.3767,2002,Gas_CC,649,1874495000.0,14706656.312,873996.483
1057,Athens Generating Plant,NY,42.2728,-73.8492,2003,Gas_CC,1218,2004534000.0,14098037.034,837827.477
202,River Rouge,MI,42.2739,-83.1119,1956,Coal,940,261675000.0,3127562.989,242207.638
903,Kalamazoo River Generating Station,MI,42.281345,-85.494956,1999,Gas_SC,77,78808000.0,959163.599,57002.899000000005
199,Delray,MI,42.2947,-83.1019,2000,Gas_SC,142,38278000.0,420078.95,24966.0
134,George Neal North,IA,42.299794,-96.361707,1964,Coal,1080,942043000.0,9719747.225,1019408.05
575,George Neal South,IA,42.3006,-96.3617,1979,Coal,695,759395000.0,7135139.05,748335.0499999999
897,Dearborn Industrial Generation,MI,42.3026,-83.154,1999,Gas_SC,747,3573856000.0,43465600.9,2132402.875
1015,New Covert Generating Facility,MI,42.32238,-86.29368,2004,Gas_CC,1176,7411165000.0,51766839.03,3076430.652
709,M Street Jet,MA,42.339387,-71.031407,1979,Oil,69,845000.0,5916.2,479.7
751,Deer Island Treatment Plant,MA,42.353333,-70.962778,1989,Oil,83,2540000.0,31639.798,2567.853
189,Kendall Square Station,MA,42.3633,-71.0792,1949,Gas_CC,294,2027427000.0,13292160.9,789389.602
107,Waukegan,IL,42.3833,-87.8133,1952,Coal,914,747412000.0,7877858.9,832780.45
187,Mystic Generating Station,MA,42.3908,-71.0675,1957,Gas_CC,2841,1933965000.0,14197747.535,844116.246
757,Pittsfield Generating LP,MA,42.4564,-73.2181,1990,Gas_CC,173,27084000.0,321453.334,19151.953
1049,Zion Energy Center,IL,42.4776,-87.895,2002,Gas_SC,990,582706000.0,6015143.555,358080.61600000004
1335,Salem Harbor Station NGCC,MA,42.525486,-70.878239,2018,Gas_CC,796,865595000.0,6190364.34,367883.891
137,Streeter Station,IA,42.5267,-92.4394,1963,Gas_SC,51,3070000.0,60445.821,3659.517
710,Castleton Energy Center,NY,42.5375,-73.7433,1992,Gas_CC,72,81970000.0,739155.058,43928.712
195,Waters River,MA,42.542949,-70.928314,1971,Gas_SC,64,4050000.0,43352.3,2143.5
200,Hancock,MI,42.5497,-83.4425,1966,Gas_SC,158,5525000.0,67111.9,3958.8
739,Selkirk Cogen,NY,42.5744,-73.8592,1992,Gas_CC,445,156371000.0,1250217.304,74291.378
1116,Riverside Energy Center,WI,42.583056,-89.035833,2004,Gas_CC,673,4362818000.0,30064839.438,1786707.467
294,Bethlehem Energy Center,NY,42.594196,-73.763752,1952,Gas_CC,1292,3346011000.0,34172719.047,2030841.502
1207,Empire Generating Co LLC,NY,42.625239,-73.750021,2010,Gas_CC,653,3015016000.0,21404682.856,1272056.188
824,Rensselaer Cogen,NY,42.625325,-73.749955,1994,Gas_CC,88,4885000.0,43062.602,2559.018
848,Tanner Street Generation,MA,42.632124,-71.313235,1992,Gas_CC,149,22095000.0,187712.413,11177.651
771,Indeck Silver Springs Energy Center,NY,42.6544,-78.0772,1991,Gas_CC,56,49046000.0,458029.775,27219.1
563,Paris (WI),WI,42.6658,-88.0131,1995,Gas_SC,380,69601000.0,907399.468,53989.864
293,Greenidge Generation LLC,NY,42.6789,-76.9483,1950,Gas_SC,162,392792000.0,3849053.684,228303.061
207,Erickson Station,MI,42.692222,-84.657222,1973,Coal,154,616427000.0,7461886.34,782601.455
206,Eckert Station,MI,42.71839,-84.55808,1954,Coal,375,7499000.0,89293.03099999999,9364.775
1303,Lansing BWL REO Town Plant,MI,42.719722,-84.551667,2013,Gas_CC,98,581255000.0,5085480.1,302219.761
203,St Clair,MI,42.7642,-82.4719,1953,Coal,1923,1885094000.0,19903603.932,2087492.367
1137,Dean,MI,42.7725,-82.4953,2002,Gas_SC,356,738897000.0,8601439.405,511160.287
459,Belle River,MI,42.7756,-82.495,1981,Coal,1659,4950838000.0,49747806.267,5018291.802
1310,Holland Energy Park,MI,42.7925,-86.092222,2017,Gas_CC,149,830062000.0,5984614.214,355654.299
896,Zeeland Generating Station,MI,42.8206,-85.9975,2001,Gas_CC,965,4154187000.0,32988972.173,1960485.28
441,Dave Johnston,WY,42.8378,-105.7769,1959,Coal,921,4779630000.0,51464143.522,5397569.887
431,South Oak Creek,WI,42.8457,-87.8294,1959,Coal,1258,3381674000.0,33900439.978,3553613.478
1182,Elm Road Generating Station,WI,42.8492,-87.8336,2010,Coal,1402,8195897000.0,73817406.681,7739753.19
872,LSP-Whitewater LP,WI,42.855463,-88.72992,1997,Gas_CC,283,907411000.0,7202000.848999999,428152.137
938,Granite Ridge,NH,42.9042,-71.4261,2003,Gas_CC,790,2120035000.0,22565329.077,1341025.934
198,J H Campbell,MI,42.910296,-86.20074,1962,Coal,1577,7290821000.0,70803324.577,7425853.869
