,fuel_price_per_mmbtu
2045,7.44566
2538,6.31533
766,7.051750457589285
1314,6.77161
373,6.07682
1056,7.85009
779,6.07682
250,10.76406
1477,7.60121
1805,6.60569
663,7.10345
1316,6.77161
1017,9.06338
414,7.6738
1319,6.77161
2002,6.07682
1102,6.07682
1650,2.06
457,9.06338
1839,7.62195
578,6.5331
581,6.5331
1807,6.60569
829,6.874756933333333
665,7.10345
862,6.77161
998,6.5331
253,10.76406
1976,6.60569
254,10.76406
1104,6.07682
864,6.77161
2257,2.06
802,6.83383
1447,6.5979125
1058,7.85009
2198,2.06
1321,6.77161
960,8.51377
2624,6.424215
2466,6.424215
342,6.385845999999999
81,21.71
2678,2.06
2546,7.9563825
2302,2.06
256,10.76406
1323,6.77161
1000,6.5331
1061,7.85009
258,10.76406
805,6.83383
326,2.06
1989,9.9681625
1991,9.9681625
583,6.5331
963,8.51377
1701,8.59673
497,10.76406
2005,6.07682
1063,7.85009
1167,6.293941875
1107,6.07682
443,6.91679
2007,6.07682
2716,2.06
1190,6.953987745535715
2346,7.09308
2736,7.10345
90,21.71
2143,2.06
623,2.06
1479,7.60121
2055,7.051750457589285
2468,6.424215
1448,6.5979125
2755,21.71
2782,2.06
585,6.5331
586,6.5331
1003,6.5331
1775,2.06
588,6.5331
1777,2.06
1702,8.59673
2682,2.06
32,7.85009
35,7.85009
36,7.85009
39,7.85009
41,7.85009
2605,2.06
2794,2.06
781,6.07682
260,10.76406
782,6.07682
1780,2.06
697,7.09308
590,6.5331
638,6.19089
1528,2.06
785,6.07682
1531,2.06
1754,6.811608571428571
2205,2.06
1324,6.77161
981,7.79824
1327,6.77161
1328,6.77161
2079,6.385845999999999
1414,6.293941875
2739,7.10345
1499,2.06
1400,2.06
1193,6.953987745535715
2112,7.62195
2723,2.06
2417,2.06
2577,2.06
2279,2.06
1109,6.07682
2115,7.62195
611,6.07682
2685,2.06
2609,2.06
1330,6.77161
1884,2.06
698,7.09308
701,7.09308
867,6.77161
2627,6.424215
1248,2.06
1064,7.85009
667,7.10345
668,7.10345
1416,6.293941875
2348,7.09308
392,12.73436
43,7.85009
1831,8.90783
2147,2.06
768,7.051750457589285
1254,2.06
498,10.76406
1155,6.874756933333333
500,10.76406
1889,2.06
702,7.09308
1993,9.9681625
2797,9.9681625
559,9.48855
869,6.77161
1222,2.06
1018,9.06338
1505,2.06
425,6.5979125
1705,8.59673
2318,6.19089
2724,2.06
2377,6.91679
502,10.76406
2691,2.06
592,6.5331
1861,7.60121
1848,6.07682
2629,6.424215
426,6.5979125
870,6.77161
262,10.76406
1194,6.953987745535715
560,9.48855
2394,8.86635
1720,8.59673
1332,6.77161
265,10.76406
417,7.6738
2799,9.83076
1905,2.06
2740,7.10345
1111,6.07682
2420,2.06
873,6.77161
267,10.76406
1112,6.07682
965,8.51377
786,6.07682
806,6.83383
2731,2.06
2518,6.83383
704,7.09308
942,2.06
875,6.77161
2261,2.06
877,6.77161
595,6.5331
1450,6.5979125
748,21.71
2209,2.06
1737,7.79824
831,6.874756933333333
707,7.09308
1563,7.47677
1452,6.5979125
269,10.76406
671,7.10345
44,7.85009
505,10.76406
2640,2.06
2803,14.86021
507,10.76406
2583,2.06
2378,6.91679
508,10.76406
510,10.76406
1334,6.77161
1908,2.06
1863,7.60121
596,6.5331
1403,2.06
444,6.91679
1958,21.71
709,7.09308
344,6.385845999999999
2380,6.91679
1809,6.60569
1336,6.77161
2471,6.424215
1168,6.293941875
512,10.76406
2806,7.52
2211,2.06
271,10.76406
514,10.76406
788,6.07682
2813,11.111455
1738,7.79824
1706,8.59673
598,6.5331
1256,2.06
