,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
86,Big Bend,FL,27.7944,-82.4036,1969,Coal,2076,3335206000.0,40258076.805,2852606.378,Gas,-199.19356512987093,1714520.0464674032,0.0017145200464674033,0.0,Coal_Gas,2852606.378
884,Tenaska Georgia Generation Facility,GA,33.3516,-84.9996,2001,Gas_SC,1098,73089000.0,715520.485,42621.14,Solar,-198.53620059686142,42621.14,0.001757141186467403,0.0017145200464674033,Gas_Solar,2895227.518
73,Brandon Shores,MD,39.18,-76.5389,1984,Coal,1370,1148597000.0,12187110.157,1250397.931,Gas,-197.61251083690618,858457.3593713373,0.0026155985458387408,0.0017571411864674034,Coal_Gas,4145625.449
405,J Robert Massengale,TX,33.6039,-101.8408,1952,Gas_CC,106,53979000.0,455395.248,27060.001,Gas,-196.8747711920344,8640.520437240746,0.0026242390662759812,0.0026155985458387408,Gas_Gas,4172685.45
597,Essex,MO,36.868206,-89.840173,1999,Gas_SC,229,91668000.0,1062467.131,63140.718,Gas,-196.8076172992092,31860.461896200093,0.0026560995281721816,0.0026242390662759812,Gas_Gas,4235826.1680000005
279,Arthur Kill Generating Station,NY,40.591564,-74.200035,1959,Gas_SC,895,937632000.0,10129449.587,601846.01,Gas,-195.87704474108648,281893.9101274369,0.0029379934382996182,0.0026560995281721816,Gas_Gas,4837672.178
87,Deerhaven Generating Station,FL,29.7592,-82.3878,1972,Coal,469,750718000.0,8258550.147,622402.804,Gas,-194.13397111134293,366232.1522814891,0.0033042255905811075,0.0029379934382996182,Coal_Gas,5460074.982000001
376,Kingston,TN,35.8992,-84.5194,1954,Coal,1700,1746724000.0,18878690.876,1958476.24,Gas,-191.94904977654974,1362434.283563143,0.00466665987414425,0.0033042255905811075,Coal_Gas,7418551.222000001
224,Baxter Wilson,MS,32.2831,-90.9306,1967,Gas_SC,1327,1577580000.0,15533548.14,923362.417,Gas,-190.94390715165036,385038.1770882242,0.005051698051232475,0.00466665987414425,Gas_Gas,8341913.639000001
512,Dansby,TX,30.7217,-96.4608,1978,Gas_SC,203,184525000.0,2087481.998,124061.837,Gas,-189.6290039656501,61095.59733562772,0.005112793648568102,0.005051698051232475,Gas_Gas,8465975.476000002
508,John Twitty Energy Center,MO,37.151706,-93.38804,1976,Coal,603,1828216000.0,17677672.701,1796233.656,Gas,-189.06263142272687,1172383.8426183984,0.006285177491186501,0.005112793648568102,Coal_Gas,10262209.132000001
335,Northeastern,OK,36.4317,-95.7008,1961,Coal,1949,3054286000.0,34998029.009,2688246.005,Gas,-188.3344884861184,1646019.1832710365,0.007931196674457536,0.006285177491186501,Coal_Gas,12950455.137000002
46,Valley (CA),CA,34.244991,-118.391327,1954,Gas_CC,1232,893450000.0,6397637.384,373259.724,Gas,-188.13136922419451,68384.03329070093,0.007999580707748238,0.007931196674457536,Gas_Gas,13323714.861000001
