,Plant Name,Planned Retirement Year,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
168,,,R S Nelson,LA,30.2844,-93.2911,1959,Gas_SC,1594,1017215000.0,11279371.814,1182981.035,Wind,-135.28710127172118,1182981.035,0.010141222362981725,0.008958241327981726,Gas_SC→Wind,14747359.164999995,3065.3846153846152
170,,,Teche,LA,29.822222,-91.5425,1953,Gas_SC,467,503159000.0,5116865.048,304082.141,Gas,-133.63559834681135,132387.08513610138,0.010273609448117825,0.010141222362981725,Gas_SC→Gas,15051441.305999996,718.4615384615385
447,,,Barney M Davis,TX,27.6064,-97.3117,1974,Gas_CC,1081,1335596000.0,10299947.489,612109.759,Wind,-133.60964525700203,612109.759,0.010885719207117825,0.010273609448117825,Gas_CC→Wind,15663551.064999996,2078.846153846154
275,,,Reeves,NM,35.171,-106.6019,1960,Gas_SC,154,123633000.0,1455196.284,86479.228,Gas,-133.14884438805652,44291.42088212796,0.010930010627999955,0.010885719207117825,Gas_SC→Gas,15750030.292999996,236.9230769230769
1121,,,Newington,NH,43.1047,-70.8061,2002,Gas_CC,604,494592000.0,3536235.507,214199.966,Wind,-130.14841733664747,214199.966,0.011144210593999953,0.010930010627999955,Gas_CC→Wind,15964230.258999996,1161.5384615384617
1121,,,Newington,NH,43.1047,-70.8061,2002,Gas_CC,604,494592000.0,3536235.507,214199.966,Wind,-130.14841733664747,214199.966,0.011358410559999954,0.011144210593999953,Gas_CC→Wind,16178430.224999996,1161.5384615384617
100,,,Yates,GA,33.4622,-84.8986,1950,Gas_SC,1484,2428382000.0,25020975.687,1486953.61,Gas,-124.15002278002059,658306.635288456,0.01201671719528841,0.011358410559999954,Gas_SC→Gas,17665383.834999997,2283.076923076923
334,,,Seminole,OK,34.96645,-96.7258,1971,Gas_SC,1724,2667360000.0,28228357.389,1677574.715,Gas,-122.31042522813026,767380.2750533259,0.012784097470341737,0.01201671719528841,Gas_SC→Gas,19342958.549999997,2652.3076923076924
224,,,Baxter Wilson,MS,32.2831,-90.9306,1967,Gas_SC,1327,1577580000.0,15533548.14,923362.417,Gas,-120.0387995910777,385038.1770882242,0.01316913564742996,0.012784097470341737,Gas_SC→Gas,20266320.966999996,2041.5384615384617
107,,,Waukegan,IL,42.3833,-87.8133,1952,Coal,914,747412000.0,7877858.9,832780.45,Wind,-119.69932262991225,832780.45,0.01400191609742996,0.01316913564742996,Coal→Wind,21099101.416999996,1757.6923076923078
44,,,Haynes,CA,33.764741,-118.09913,1962,Gas_SC,2882,3802589000.0,28051436.0,1636605.754,Gas,-118.21496934259524,339032.361131252,0.014340948458561213,0.01400191609742996,Gas_SC→Gas,22735707.170999996,4433.846153846154
185,,,Morgantown Generating Plant,MD,38.3592,-76.9767,1970,Coal,1548,1259835000.0,12531503.731,1284643.79,Wind,-117.16992072086046,1284643.79,0.01562559224856121,0.014340948458561213,Coal→Wind,24020350.960999995,2976.923076923077
