,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
244,Lon Wright,NE,41.4281,-96.4623,1957,Coal,211,327347000.0,3305806.129,340384.907,Gas,-35.84064175664619,228682.9172673715,0.04865971533952961,0.04843103242226224,Coal→Gas,87758735.36699998
114,Marion,IL,37.619747,-88.953114,1963,Coal,422,1000046000.0,12859348.206,1356548.317,Gas,-35.32213102736173,1015298.4261375323,0.04967501376566714,0.04865971533952961,Coal→Gas,89115283.68399999
416,Chesterfield,VA,37.3822,-77.3833,1952,Coal,1797,3645796000.0,30464363.285,2020768.003,Gas,-34.672647088857076,776697.7431251332,0.050451711508792275,0.04967501376566714,Coal→Gas,91136051.68699999
4,E C Gaston,AL,33.244211,-86.458056,1960,Gas_SC,2033,4159470000.0,44005747.7,3832358.702,Gas,-33.00246549693687,2413005.3087103833,0.052864716817502655,0.050451711508792275,Gas_SC→Gas,94968410.389
126,F B Culley,IN,37.9111,-87.3275,1955,Coal,414,1020047000.0,12318607.888,1258642.022,Gas,-31.124785350656744,910567.1060215476,0.0537752839235242,0.052864716817502655,Coal→Gas,96227052.411
346,Homer City Generating Station,PA,40.512825,-79.196107,1969,Coal,2012,3413527000.0,33998054.615,3488198.994,Gas,-27.581370338236443,2323386.8591521163,0.056098670782676316,0.0537752839235242,Coal→Gas,99715251.405
442,Naughton,WY,41.7581,-110.5983,1963,Coal,832,2905299000.0,30338463.637,3056807.435,Gas,-26.73967911647878,2065420.072145855,0.05816409085482217,0.056098670782676316,Coal→Gas,102772058.84
325,W H Sammis,OH,40.5317,-80.6319,1959,Coal,2464,5476431000.0,53871683.463,5650061.447,Gas,-25.45659705612706,3781315.9282280286,0.0619454067830502,0.05816409085482217,Coal→Gas,108422120.287
480,Lewis & Clark,MT,47.6785,-104.15665,1958,Coal,68,256912000.0,3179862.54,345979.82,Gas,-24.402353003767576,258312.66072806824,0.06220371944377827,0.0619454067830502,Coal→Gas,108768100.107
441,Dave Johnston,WY,42.8378,-105.7769,1959,Coal,921,4779630000.0,51464143.522,5397569.887,Gas,-21.184636835422214,3766596.6959038144,0.06597031613968209,0.06220371944377827,Coal→Gas,114165669.99399999
313,R M Heskett,ND,46.8669,-100.8836,1954,Coal,203,459560000.0,5172104.727,561996.822,Gas,-20.65466000227559,405179.2357642113,0.06637549537544629,0.06597031613968209,Coal→Gas,114727666.81599998
310,James E. Rogers Energy Complex,NC,35.22,-81.7594,1940,Coal,2540,5789040000.0,50317830.194,4597599.933,Gas,-20.51998917775161,2622181.5340478923,0.0689976769094942,0.06637549537544629,Coal→Gas,119325266.74899998
392,Jones,TX,33.5239,-101.7392,1971,Gas_SC,858,2817409000.0,28763007.782,1709344.851,Gas,-20.289229112722918,747948.5614643845,0.06974562547095857,0.0689976769094942,Gas_SC→Gas,121034611.59999998
207,Erickson Station,MI,42.692222,-84.657222,1973,Coal,154,616427000.0,7461886.34,782601.455,Gas,-19.55174921484323,572255.4844399674,0.07031788095539855,0.06974562547095857,Coal→Gas,121817213.05499998
28,Thomas Fitzhugh,AR,35.462382,-93.804926,1963,Gas_CC,185,434792000.0,3751482.31,223336.403,Gas,-19.198193133717233,74970.50528342093,0.07039285146068196,0.07031788095539855,Gas_CC→Gas,122040549.45799997
49,Comanche (CO),CO,38.2081,-104.5747,1973,Coal,1634,4648786000.0,47269634.09,4883250.386,Gas,-18.47045805714598,3296925.641795266,0.07368977710247722,0.07039285146068196,Coal→Gas,126923799.84399998
124,Noblesville,IN,40.0969,-85.9714,1950,Gas_CC,283,1199041000.0,12602113.486,748959.963,Gas,-18.11625216517328,339806.17368468444,0.07402958327616191,0.07368977710247722,Gas_CC→Gas,127672759.80699998
138,Muscatine Plant #1,IA,41.3917,-91.0569,1958,Coal,293,811937000.0,9568391.947,1003529.785,Gas,-17.472930474064785,726469.1171535216,0.07475605239331544,0.07402958327616191,Coal→Gas,128676289.59199998
162,Shawnee,KY,37.1517,-88.775,1953,Coal,1750,4089194000.0,44866116.756,4705547.174,Gas,-16.91857432175154,3310174.3549342193,0.07806622674824965,0.07475605239331544,Coal→Gas,133381836.76599997
250,Sheldon,NE,40.5589,-96.7847,1961,Coal,227,563013000.0,5786358.566,606873.678,Gas,-16.46533989487373,414754.39068306604,0.07848098113893272,0.07806622674824965,Coal→Gas,133988710.44399998
372,Cumberland (TN),TN,36.3903,-87.6539,1973,Coal,2600,10186573000.0,101328432.745,10382601.489,Gas,-16.207966396545313,6906594.460810738,0.08538757559974346,0.07848098113893272,Coal→Gas,144371311.93299997
276,San Juan,NM,36.8006,-108.4386,1973,Coal,1848,5352045000.0,59622703.411,6249613.377,Gas,-16.081509375107895,4423312.6146940505,0.0898108882144375,0.08538757559974346,Coal→Gas,150620925.30999997
121,Michigan City,IN,41.7208,-86.9086,1950,Coal,680,1658109000.0,16260738.308,1705426.85,Gas,-15.643917514932971,1139623.361672388,0.09095051157610988,0.0898108882144375,Coal→Gas,152326352.15999997
